"행정구역","2025년03월_총인구수","2025년03월_세대수","2025년03월_세대당 인구","2025년03월_남자 인구수","2025년03월_여자 인구수","2025년03월_남여 비율"
"서울특별시  (1100000000)","9,335,734","4,497,896","          2.08","4,504,618","4,831,116","          0.93"
"서울특별시 종로구 (1111000000)","138,184","72,387","          1.91","66,450","71,734","          0.93"
"서울특별시 종로구 청운효자동(1111051500)","10,986","4,915","          2.24","5,007","5,979","          0.84"
"서울특별시 종로구 사직동(1111053000)","8,937","4,562","          1.96","3,940","4,997","          0.79"
"서울특별시 종로구 삼청동(1111054000)","2,189","1,094","          2.00","1,049","1,140","          0.92"
"서울특별시 종로구 부암동(1111055000)","9,016","4,120","          2.19","4,229","4,787","          0.88"
"서울특별시 종로구 평창동(1111056000)","17,233","7,139","          2.41","7,998","9,235","          0.87"
"서울특별시 종로구 무악동(1111057000)","7,829","2,984","          2.62","3,586","4,243","          0.85"
"서울특별시 종로구 교남동(1111058000)","9,512","4,302","          2.21","4,355","5,157","          0.84"
"서울특별시 종로구 가회동(1111060000)","3,763","1,864","          2.02","1,755","2,008","          0.87"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","6,670","4,934","          1.35","4,019","2,651","          1.52"
"서울특별시 종로구 종로5.6가동(1111063000)","5,284","3,547","          1.49","2,761","2,523","          1.09"
"서울특별시 종로구 이화동(1111064000)","7,018","4,383","          1.60","3,262","3,756","          0.87"
"서울특별시 종로구 혜화동(1111065000)","15,872","9,236","          1.72","7,627","8,245","          0.93"
"서울특별시 종로구 창신제1동(1111067000)","4,488","2,664","          1.68","2,358","2,130","          1.11"
"서울특별시 종로구 창신제2동(1111068000)","7,278","3,907","          1.86","3,746","3,532","          1.06"
"서울특별시 종로구 창신제3동(1111069000)","6,205","2,746","          2.26","3,038","3,167","          0.96"
"서울특별시 종로구 숭인제1동(1111070000)","5,738","3,010","          1.91","2,770","2,968","          0.93"
"서울특별시 종로구 숭인제2동(1111071000)","10,166","6,980","          1.46","4,950","5,216","          0.95"
"서울특별시 중구 (1114000000)","119,850","64,863","          1.85","57,734","62,116","          0.93"
"서울특별시 중구 소공동(1114052000)","2,171","1,244","          1.75","1,004","1,167","          0.86"
"서울특별시 중구 회현동(1114054000)","4,303","2,486","          1.73","2,238","2,065","          1.08"
"서울특별시 중구 명동(1114055000)","2,515","1,335","          1.88","1,027","1,488","          0.69"
"서울특별시 중구 필동(1114057000)","4,354","2,815","          1.55","2,240","2,114","          1.06"
"서울특별시 중구 장충동(1114058000)","4,575","2,918","          1.57","2,388","2,187","          1.09"
"서울특별시 중구 광희동(1114059000)","5,731","3,970","          1.44","2,808","2,923","          0.96"
"서울특별시 중구 을지로동(1114060500)","3,073","2,110","          1.46","1,657","1,416","          1.17"
"서울특별시 중구 신당동(1114061500)","7,346","4,681","          1.57","3,567","3,779","          0.94"
"서울특별시 중구 다산동(1114062500)","13,029","6,747","          1.93","6,306","6,723","          0.94"
"서울특별시 중구 약수동(1114063500)","15,841","7,687","          2.06","7,302","8,539","          0.86"
"서울특별시 중구 청구동(1114064500)","11,871","5,650","          2.10","5,555","6,316","          0.88"
"서울특별시 중구 신당제5동(1114065000)","10,067","5,416","          1.86","4,877","5,190","          0.94"
"서울특별시 중구 동화동(1114066500)","9,829","3,986","          2.47","4,716","5,113","          0.92"
"서울특별시 중구 황학동(1114067000)","13,106","7,884","          1.66","6,167","6,939","          0.89"
"서울특별시 중구 중림동(1114068000)","12,039","5,934","          2.03","5,882","6,157","          0.96"
"서울특별시 용산구 (1117000000)","203,405","103,236","          1.97","97,137","106,268","          0.91"
"서울특별시 용산구 후암동(1117051000)","15,757","8,275","          1.90","7,545","8,212","          0.92"
"서울특별시 용산구 용산2가동(1117052000)","8,628","4,999","          1.73","4,234","4,394","          0.96"
"서울특별시 용산구 남영동(1117053000)","6,718","4,809","          1.40","4,102","2,616","          1.57"
"서울특별시 용산구 청파동(1117055500)","18,565","11,187","          1.66","8,572","9,993","          0.86"
"서울특별시 용산구 원효로제1동(1117056000)","17,085","9,398","          1.82","7,872","9,213","          0.85"
"서울특별시 용산구 원효로제2동(1117057000)","13,511","6,271","          2.15","6,329","7,182","          0.88"
"서울특별시 용산구 효창동(1117058000)","10,511","4,718","          2.23","4,928","5,583","          0.88"
"서울특별시 용산구 용문동(1117059000)","11,141","5,273","          2.11","5,256","5,885","          0.89"
"서울특별시 용산구 한강로동(1117062500)","20,821","11,213","          1.86","9,842","10,979","          0.90"
"서울특별시 용산구 이촌제1동(1117063000)","24,954","9,104","          2.74","11,696","13,258","          0.88"
"서울특별시 용산구 이촌제2동(1117064000)","7,718","3,563","          2.17","3,621","4,097","          0.88"
"서울특별시 용산구 이태원제1동(1117065000)","6,007","3,416","          1.76","2,993","3,014","          0.99"
"서울특별시 용산구 이태원제2동(1117066000)","8,499","4,764","          1.78","4,036","4,463","          0.90"
"서울특별시 용산구 한남동(1117068500)","13,999","7,113","          1.97","6,587","7,412","          0.89"
"서울특별시 용산구 서빙고동(1117069000)","12,369","5,086","          2.43","5,957","6,412","          0.93"
"서울특별시 용산구 보광동(1117070000)","7,122","4,047","          1.76","3,567","3,555","          1.00"
"서울특별시 성동구 (1120000000)","273,523","132,253","          2.07","132,223","141,300","          0.94"
"서울특별시 성동구 왕십리제2동(1120052000)","15,894","7,360","          2.16","7,602","8,292","          0.92"
"서울특별시 성동구 왕십리도선동(1120053500)","25,975","12,126","          2.14","12,202","13,773","          0.89"
"서울특별시 성동구 마장동(1120054000)","21,343","10,845","          1.97","10,483","10,860","          0.97"
"서울특별시 성동구 사근동(1120055000)","12,039","8,339","          1.44","6,222","5,817","          1.07"
"서울특별시 성동구 행당제1동(1120056000)","13,704","6,506","          2.11","6,508","7,196","          0.90"
"서울특별시 성동구 행당제2동(1120057000)","22,535","9,157","          2.46","10,497","12,038","          0.87"
"서울특별시 성동구 응봉동(1120058000)","14,634","5,899","          2.48","6,925","7,709","          0.90"
"서울특별시 성동구 금호1가동(1120059000)","14,507","6,420","          2.26","6,866","7,641","          0.90"
