"시점","기간별",합계,봄(3~5월),여름(6~8월),가을(9~11월),겨울(12~2월)
"1997","금년",524,310,7,79,128
"1998","금년",265,171,1,14,79
"1999","금년",315,197,5,14,99
"2000","금년",729,503,17,30,179
"2001","금년",785,625,28,56,76
"2002","금년",599,391,29,33,146
"2003","금년",271,201,3,22,45
"2004","금년",544,276,42,43,183
"2005","금년",516,331,7,35,143
"2006","금년",405,251,1,55,98
"2007","금년",418,191,18,21,188
"2008","금년",389,196,4,83,106
"2009","금년",570,377,17,59,117
"2010","금년",282,118,21,49,94
"2011","금년",277,180,9,11,77
"2012","금년",197,122,38,20,17
"2013","금년",296,212,13,23,48
"2014","금년",492,322,24,39,107
"2015","금년",623,377,100,82,64
"2016","금년",391,223,43,15,110
"2017","금년",692,418,89,58,127
"2018","금년",496,174,106,25,191
"2019","금년",653,392,34,30,197
"2020","금년",620,381,39,83,117
"2021","금년",349,158,16,25,150
"2022","금년",756,377,29,82,268
"2023","금년",596,370,12,40,174
"2024","금년",279,158,35,26,60
