"시점",금년,금년,금년,금년
"시점",오전(6~10시),정오(11~13시),오후(14~18시),야간(19~05시)
"1997",31,193,256,44
"1998",11,72,144,38
"1999",14,110,150,41
"2000",24,153,456,96
"2001",58,287,333,107
"2002",33,225,284,57
"2003",13,100,144,14
"2004",25,221,236,62
"2005",28,174,275,39
"2006",22,139,187,57
"2007",23,129,209,57
"2008",25,142,182,40
"2009",49,197,252,72
"2010",21,103,126,32
"2011",9,106,138,24
"2012",16,56,98,27
"2013",16,106,140,34
"2014",43,147,250,52
"2015",60,191,302,70
"2016",22,148,180,41
"2017",56,231,338,67
"2018",48,168,233,47
"2019",60,227,272,94
"2020",43,233,264,80
"2021",32,115,150,52
"2022",75,238,316,127
"2023",54,221,248,73
"2024",30,115,108,26
